"yr","date","h3grp","time","wind.2m","rain.rate","air.temp","date.time","ct","rain.cum","sim","man.dm","man.ph","app.rate.ni","tan.app","f0","r1","r2","r3","f4","f","s","j","e","e.int","er"
2020,2020-04-09,4,15,5.5736059894972,0,9.66666666666667,2020-04-09 15:00:00,102,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.0699858723589881,0.0158786853066665,0.000449353106180681,1,0.024232268141553,69.5687650571035,0.0332161108737132,30.407002674755,0.0996483326211397,0.30407002674755
2020,2020-04-09,5,18,4.98556499060529,0,8.6,2020-04-09 18:00:00,105,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.0476652178038619,0.0158786853066665,0.000449353106180681,1,0.020026440589739,69.4760956628977,0.0322917405858618,30.5038778965126,0.0968752217575855,0.305038778965125
2020,2020-04-09,6,21,3.11917399412229,0,5.5,2020-04-09 21:00:00,108,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.0147829778982929,0.0158786853066665,0.000449353106180681,1,0.0182664937740083,69.3834116607361,0.0314813163257881,30.5983218454899,0.0944439489773643,0.305983218454899
2020,2020-04-09,7,24,1.58515399701296,0,3.23333333333333,2020-04-10 00:00:00,111,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.00592314409437324,0.0158786853066665,0.000449353106180681,1,0.017109997676587,69.2907834461109,0.0312615702408721,30.6921065562125,0.0937847107226162,0.306921065562125
2020,2020-04-10,0,3,1.76412299667572,0,2,2020-04-10 03:00:00,114,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.00511378935292185,0.0158786853066665,0.000449353106180681,1,0.0160656833483819,69.1982276718,0.0312000295463714,30.7857066448516,0.0936000886391142,0.307857066448516
2020,2020-04-10,1,6,1.63628799691661,0,0.966666666666667,2020-04-10 06:00:00,117,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.00410713830249719,0.0158786853066665,0.000449353106180681,1,0.0151307342692255,69.1057495128161,0.0311377026876928,30.8791197529147,0.0934131080630785,0.308791197529147
2020,2020-04-10,2,9,1.76412299667572,0,2.66666666666667,2020-04-10 09:00:00,120,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.00572494456496459,0.0158786853066665,0.000449353106180681,1,0.0141812003393949,69.0133510596312,0.0311159957048955,30.9724677400294,0.0933479871146865,0.309724677400294
2020,2020-04-10,3,12,3.98845199248423,0,6.63333333333333,2020-04-10 12:00:00,123,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.0241954814786037,0.0158786853066665,0.000449353106180681,1,0.0125747981898285,68.9210157194383,0.0313139141141422,31.0664094823718,0.0939417423424267,0.310664094823718
2020,2020-04-10,4,15,4.67876099118343,0,8.43333333333333,2020-04-10 15:00:00,126,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.041671764481884,0.0158786853066665,0.000449353106180681,1,0.0105808241245745,68.828718471679,0.0314304072748577,31.1607007041964,0.0942912218245731,0.311607007041964
2020,2020-04-10,5,18,4.49979199152067,0,7.6,2020-04-10 18:00:00,129,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.0340144266486953,0.0158786853066665,0.000449353106180681,1,0.00910992047761597,68.7364635860451,0.0312419297602927,31.2544264934773,0.093725789280878,0.312544264934773
2020,2020-04-10,6,21,2.5566999951822,0,5.13333333333333,2020-04-10 21:00:00,132,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.0114360194246688,0.0158786853066665,0.000449353106180681,1,0.00839318332868977,68.6442815556254,0.0309662558562257,31.347325261046,0.092898767568677,0.31347325261046
2020,2020-04-10,7,24,0.357937999325508,0,2.26666666666667,2020-04-11 00:00:00,135,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.00328890044236338,0.0158786853066665,0.000449353106180681,1,0.00792416626172791,68.5521956123358,0.0308516534521601,31.4398802214024,0.0925549603564804,0.314398802214024
2020,2020-04-11,0,3,0.38350499927733,0,0.333333333333333,2020-04-11 03:00:00,138,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.00239171870805414,0.0158786853066665,0.000449353106180681,1,0.00750152173992245,68.4602125147509,0.0308019140355782,31.5322859635092,0.0924057421067346,0.315322859635092
2020,2020-04-11,1,6,0.613607998843728,0,-0.133333333333333,2020-04-11 06:00:00,141,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.00239313456324888,0.0158786853066665,0.000449353106180681,1,0.00710138928612496,68.3683337535829,0.030759631207277,31.624564857131,0.0922788936218311,0.31624564857131
2020,2020-04-11,2,9,1.35505099744657,0,2.63333333333333,2020-04-11 09:00:00,144,0.0333333333333333,143,6.5,7,30,100,0.322934597685581,0.00494139711831623,0.0158786853066665,0.000449353106180681,1,0.00667140306068976,68.2765589888305,0.0307349169926165,31.7167696081089,0.0922047509778494,0.317167696081089
2020,2020-04-11,3,12,2.30102999566398,0.233333333333333,5.33333333333333,2020-04-11 12:00:00,147,0.15,143,6.5,7,30,100,0.322934597685581,0.0108284078175324,0.0196224352632093,0.000449353106180681,1,0.00608896223531153,68.1849552141142,0.0307287385138946,31.8089558236505,0.0921862155416839,0.318089558236505
2020,2020-04-11,4,15,3.22144199392957,0.766666666666667,5.43333333333333,2020-04-11 15:00:00,150,0.65,143,6.5,7,30,100,0.322934597685581,0.0151435120990981,0.0318344781707101,0.000449353106180681,1,0.00528854780770147,68.0936418012088,0.0307046091109816,31.9010696509835,0.0921138273329447,0.319010696509835
2020,2020-04-11,5,18,3.96288499253241,0.1,6.86666666666667,2020-04-11 18:00:00,153,1.08333333333333,143,6.5,7,30,100,0.322934597685581,0.0249489541606819,0.017386681454315,0.000449353106180681,1,0.00465776996277633,68.0021682509449,0.0307014427029368,31.9931739790923,0.0921043281088103,0.319931739790923
2020,2020-04-11,6,21,3.40041099359233,0.0666666666666667,8.03333333333333,2020-04-11 21:00:00,156,1.16666666666667,143,6.5,7,30,100,0.322934597685581,0.0250225023902193,0.0168687400402404,0.000449353106180681,1,0.00410769916360128,67.91078040536,0.0306459721280336,32.0851118954764,0.0919379163841008,0.320851118954764
2020,2020-04-11,7,24,3.17030799402593,0.2,7.16666666666667,2020-04-12 00:00:00,159,1.3,143,6.5,7,30,100,0.322934597685581,0.0199533958543824,0.0190378917495711,0.000449353106180681,1,0.00365424386432062,67.81951557527,0.0305727617964209,32.1768301808657,0.0917182853892626,0.321768301808657
