"par.set","country","inst","man.source","app.mthd","ct.grp","n.obs","ct.mean","er.mean","MBE","MAE","RMSE","ME"
"b","FR",208,"cat","bsth","(0,24]",48,12.5,0.146417625,0.0368294252681078,0.0368294252681078,0.0375307826552467,0.251774632131034
"b","FR",208,"cat","bsth","(24,48]",48,36.5,0.233855625,-0.00842630395230687,0.0110003688778475,0.0126921099091871,0.0357098344345581
"b","FR",208,"cat","bsth","(48,72]",48,60.5,0.266080625,-0.0261552433612321,0.0261552433612321,0.0296957465782274,-2.93156846822904
"b","FR",208,"cat","bsth","(72,96]",48,84.5,0.282605833333333,-0.0285909869493343,0.0285909869493343,0.0335420790787522,-2.56151165982601
"b","FR",208,"cat","bsth","(96,120]",48,108.5,0.294874791666667,-0.0275528807658826,0.0275528807658826,0.0339238641201438,-1.94051095595818
"b","FR",208,"cat","bsth","(120,144]",48,132.5,0.306352291666667,-0.0263098831693515,0.0263098831693515,0.0341442412225907,-1.4153568266083
"b","FR",208,"cat","bsth","(144,168]",48,156.5,0.320176458333333,-0.0281136862273216,0.0281241423122272,0.0373359010773084,-1.3010910571027
"b","FR",208,"cat","ts","(0,24]",48,12.25,0.0341547297435417,-0.00887679088944226,0.0114808587259486,0.0125872047164211,0.612837534201778
"b","FR",208,"cat","ts","(24,48]",48,36.25,0.067434375,-0.00781239320154492,0.00781239320154492,0.00897153979024905,-2.6334974860402
"b","FR",208,"cat","ts","(48,72]",48,60.25,0.0790465625,0.0113332868440462,0.0113347282021392,0.0128897021360641,-22.2449565298662
"b","FR",208,"cat","ts","(72,96]",48,84.25,0.087977625,0.0318967398407993,0.0318967398407993,0.0323650582951093,-117.308127968919
"b","FR",208,"cat","ts","(96,120]",48,108.25,0.0956169583333333,0.0513728706220458,0.0513728706220458,0.0516851531903242,-778.446291507352
"b","FR",208,"cat","ts","(120,144]",48,132.25,0.099164,0.072623305326666,0.072623305326666,0.0728976442402507,-20739.8457556616
"b","FR",208,"cat","ts","(144,168]",29,151.5,0.10024975862069,0.0903525873065573,0.0903525873065573,0.0904345353015376,-90709.6243507652
"b","IE",212,"cat","bc","(0,24]",32,8.0071875,0.3143465625,0.101084195976935,0.133604042473865,0.155994941385591,-0.389352309539404
"b","IE",212,"cat","bc","(24,48]",6,39.995,0.498075,0.00503370254426228,0.0977414153643569,0.110269564453438,0.12014197921125
"b","IE",212,"cat","bc","(48,72]",2,48.04,0.45322,0.0540883572455782,0.0633047776572609,0.083264910158845,-0.705404555764451
"b","IE",212,"cat","bc","(72,96]",6,95.965,0.570081666666667,0.0150673272744607,0.0895015154716275,0.106833182541918,-0.0245339879877269
"b","IE",212,"cat","bc","(144,168]",6,167.955,0.606056666666667,0.0668698749637872,0.106776215630722,0.138737776631932,-0.326835202038982
"b","IE",212,"cat","ts","(0,24]",83,6.72831325301205,0.237596460240964,-0.0476141940650717,0.115280712354946,0.16723031363644,0.257778441932215
"b","IE",212,"cat","ts","(24,48]",21,36.5833333333333,0.425429047619048,-0.0705742460357559,0.136882605265291,0.19273629641258,-0.0476792885866408
"b","IE",212,"cat","ts","(48,72]",11,48.0845454545455,0.37557,-0.0188962941998983,0.0933387761200549,0.137024859684293,-0.0192557520688916
"b","IE",212,"cat","ts","(72,96]",12,95.9533333333333,0.53832,-0.142206481450044,0.184050484390776,0.239341189379062,-0.417741172901487
"b","IE",212,"cat","ts","(96,120]",3,104.14,0.508606666666667,-0.0960269654293179,0.129904889185794,0.194770093939456,-0.234966030218008
"b","IE",212,"cat","ts","(120,144]",7,120.06,0.452504285714286,-0.0294621438003663,0.0952883619317865,0.124624055469279,-0.406864077250471
