"decade","app.timing","app.timing.d","app.mthd","crop.status","app.mthd.d","incorp.timing","man.trt","man.source","man.descrip.d","man.source.d","id","incorp","crop.status.d","incorp.timing.d","EF.2008","EF.2008.source","notes.inputs","man.dm","man.ph","man.tn","man.tan","man.source.pig","t.incorp","incorp.deep","incorp.shallow","crop","crop.hght","crop.notes","grass.hght","cereal.hght","bsth.cereal.hght","month.start","month.end","date.notes","air.temp","wind.2m","rain.rate","app.mthd.bc","app.mthd.os","app.mthd.cs","app.rate","tan.app","app.rate.ni","ct","id1","emis","EF","emis.def","EF.def","man.trt.nm","incorp.nm","EF.rel","EFp"
1980,"Late summer-autumn","Sensommer-efterår","Broadcast","-","Bredspredning","< 12 hours","None","Cattle","Ikke behandlet gylle","Kvæg","0035-1980","Deep","-","< 12 timer",NA,NA,NA,7.3,7,4,2.2,0,12,TRUE,FALSE,"None",0,NA,NA,0,0,7,9,"Tavs:  it’s not allowed to apply liquid animal manure to soil after 1/10",15.2,3.41166666666667,0.09,1,0,0,30,66,30,168,35,26,0.4,21,0.32,"No treatment","Deep incorp.",0,40
1980,"Late summer-autumn","Sensommer-efterår","Broadcast","-","Bredspredning","> 12 hours","None","Cattle","Ikke behandlet gylle","Kvæg","0036-1980","Deep","-","> 12 timer",NA,NA,NA,7.3,7,4,2.2,0,12,TRUE,FALSE,"None",0,NA,NA,0,0,7,9,"Tavs:  it’s not allowed to apply liquid animal manure to soil after 1/10",15.2,3.41166666666667,0.09,1,0,0,30,66,30,168,36,26,0.4,21,0.32,"No treatment","Deep incorp.",0,40
1980,"Late summer-autumn","Sensommer-efterår","Broadcast","-","Bredspredning","None","None","Cattle","Ikke behandlet gylle","Kvæg","0037-1980","None","-",NA,NA,NA,NA,7.3,7,4,2.2,0,NA,FALSE,FALSE,"None",0,NA,NA,0,0,7,9,"Tavs:  it’s not allowed to apply liquid animal manure to soil after 1/10",15.2,3.41166666666667,0.09,1,0,0,30,66,30,168,37,35,0.53,26,0.39,"No treatment","No incorp.",0,53
1980,"March","Marts","Closed slot injection","-","Sortjordsnedfældning","None","None","Pig","Ikke behandlet gylle","Svin","0038-1980","None","-",NA,0.86,"Table 11",NA,3.2,7.2,3.8,2.7,1,NA,FALSE,FALSE,"None",0,NA,NA,0,0,3,3,NA,3.3,4.37,0.09,0,0,1,30,81,0,168,38,1.5,0.018,12,0.14,"No treatment","No incorp.",0,1.8
1980,"April","April","Closed slot injection","-","Sortjordsnedfældning","None","None","Pig","Ikke behandlet gylle","Svin","0039-1980","None","-",NA,0.94,"Table 11",NA,3.2,7.2,3.8,2.7,1,NA,FALSE,FALSE,"None",0,NA,NA,0,0,4,4,NA,6.8,3.795,0.09,0,0,1,30,81,0,168,39,1.5,0.018,13,0.16,"No treatment","No incorp.",0,1.8
1980,"March","Marts","Open slot injection","+","Nedfælder","None","None","Pig","Ikke behandlet gylle","Svin","0040-1980","None","+",NA,12.8,"Table 11",NA,3.2,7.2,3.8,2.7,1,NA,FALSE,FALSE,"Grass",10,NA,10,0,0,3,3,NA,3.3,4.37,0.09,0,1,0,30,81,0,168,40,7.5,0.093,8,0.099,"No treatment","No incorp.",1.4210854715202e-14,9.3
1980,"April","April","Open slot injection","+","Nedfælder","None","None","Pig","Ikke behandlet gylle","Svin","0041-1980","None","+",NA,14,"Table 11",NA,3.2,7.2,3.8,2.7,1,NA,FALSE,FALSE,"Grass",10,NA,10,0,0,4,4,NA,6.8,3.795,0.09,0,1,0,30,81,0,168,41,7.6,0.094,9.1,0.11,"No treatment","No incorp.",0,9.4
1980,"Summer, grass","Sommer, græsnedfældning","Open slot injection","+","Nedfælder","None","None","Pig","Ikke behandlet gylle","Svin","0042-1980","None","+",NA,16.8,"Table 11",NA,3.2,7.2,3.8,2.7,1,NA,FALSE,FALSE,"Grass",10,NA,10,0,0,5,8,NA,14.7,3.30625,0.09,0,1,0,30,81,0,168,42,7.7,0.096,12,0.15,"No treatment","No incorp.",0,9.6
1980,"Summer, before winter rapeseed","Sommer, før vinterraps","Closed slot injection","-","Sortjordsnedfældning","None","None","Pig","Ikke behandlet gylle","Svin","0043-1980","None","-",NA,1.12,"Table 11",NA,3.2,7.2,3.8,2.7,1,NA,FALSE,FALSE,"None",0,NA,NA,0,0,7,8,NA,16,3.3925,0.09,0,0,1,30,81,0,168,43,1.5,0.018,19,0.24,"No treatment","No incorp.",0,1.8
1980,"Autumn","Efterår","Open slot injection","+","Nedfælder","None","None","Pig","Ikke behandlet gylle","Svin","0044-1980","None","+",NA,15,"Table 11",NA,3.2,7.2,3.8,2.7,1,NA,FALSE,FALSE,"Grass",10,NA,10,0,0,9,9,"Tavs:  it’s not allowed to apply liquid animal manure to soil after 1/10",13.6,3.45,0.09,0,1,0,30,81,0,168,44,7.7,0.095,12,0.14,"No treatment","No incorp.",0,9.5
