"ID","Decade","Application period","Application method","Crop","Crop height (cm)","Incorporation time (h)","Manure source","Manure treatment","Air temperature (deg. C)","Wind speed (m/s)","Emission factor (% of applied TAN)"
"0071-1980",1980,"Late summer-autumn","Broadcast","Grass",10,"None","Pig","None",14.3,2.97,28.3
"0071-1990",1990,"Late summer-autumn","Broadcast","Grass",10,"None","Pig","None",15.2,2.77,29.7
"0071-2000",2000,"Late summer-autumn","Broadcast","Grass",10,"None","Pig","None",15.8,2.7,30.5
"0071-2010",2010,"Late summer-autumn","Broadcast","Grass",10,"None","Pig","None",15.7,2.8,30.4
"0072-1980",1980,"Late summer-autumn","Broadcast","None",0,"< 12 hours","Pig","None",14.3,2.97,14.8
"0072-1990",1990,"Late summer-autumn","Broadcast","None",0,"< 12 hours","Pig","None",15.2,2.77,16.3
"0072-2000",2000,"Late summer-autumn","Broadcast","None",0,"< 12 hours","Pig","None",15.8,2.7,16.9
"0072-2010",2010,"Late summer-autumn","Broadcast","None",0,"< 12 hours","Pig","None",15.7,2.8,16.9
"0073-1980",1980,"Late summer-autumn","Broadcast","None",0,"> 12 hours","Pig","None",14.3,2.97,14.8
"0073-1990",1990,"Late summer-autumn","Broadcast","None",0,"> 12 hours","Pig","None",15.2,2.77,16.3
"0073-2000",2000,"Late summer-autumn","Broadcast","None",0,"> 12 hours","Pig","None",15.8,2.7,16.9
"0073-2010",2010,"Late summer-autumn","Broadcast","None",0,"> 12 hours","Pig","None",15.7,2.8,16.9
"0074-1980",1980,"Late summer-autumn","Broadcast","None",0,"None","Pig","None",14.3,2.97,28.3
"0074-1990",1990,"Late summer-autumn","Broadcast","None",0,"None","Pig","None",15.2,2.77,29.7
"0074-2000",2000,"Late summer-autumn","Broadcast","None",0,"None","Pig","None",15.8,2.7,30.5
"0074-2010",2010,"Late summer-autumn","Broadcast","None",0,"None","Pig","None",15.7,2.8,30.4
"0075-1980",1980,"March","Open slot injection","None",0,"None","Digestate","None",2.4,3.8,14.1
"0075-1990",1990,"March","Open slot injection","None",0,"None","Digestate","None",3.5,3.9,14.6
"0075-2000",2000,"March","Open slot injection","None",0,"None","Digestate","None",3.1,3.5,14.3
"0075-2010",2010,"March","Open slot injection","None",0,"None","Digestate","None",4,3.5,14.7
"0076-1980",1980,"April","Open slot injection","None",0,"None","Digestate","None",5.9,3.3,15.5
"0076-1990",1990,"April","Open slot injection","None",0,"None","Digestate","None",6.7,3.5,16
"0076-2000",2000,"April","Open slot injection","None",0,"None","Digestate","None",7.6,3,16.2
"0076-2010",2010,"April","Open slot injection","None",0,"None","Digestate","None",7.6,3.4,16.4
"0077-1980",1980,"March","Open slot injection","Grass",10,"None","Digestate","None",2.4,3.8,14.1
"0077-1990",1990,"March","Open slot injection","Grass",10,"None","Digestate","None",3.5,3.9,14.6
"0077-2000",2000,"March","Open slot injection","Grass",10,"None","Digestate","None",3.1,3.5,14.3
"0077-2010",2010,"March","Open slot injection","Grass",10,"None","Digestate","None",4,3.5,14.7
"0078-1980",1980,"April","Open slot injection","Grass",10,"None","Digestate","None",5.9,3.3,15.5
"0078-1990",1990,"April","Open slot injection","Grass",10,"None","Digestate","None",6.7,3.5,16
"0078-2000",2000,"April","Open slot injection","Grass",10,"None","Digestate","None",7.6,3,16.2
"0078-2010",2010,"April","Open slot injection","Grass",10,"None","Digestate","None",7.6,3.4,16.4
"0079-1980",1980,"Summer, grass","Open slot injection","Grass",10,"None","Digestate","None",13.8,2.88,19.2
"0079-1990",1990,"Summer, grass","Open slot injection","Grass",10,"None","Digestate","None",14.4,2.82,19.4
"0079-2000",2000,"Summer, grass","Open slot injection","Grass",10,"None","Digestate","None",14.9,2.75,19.7
"0079-2010",2010,"Summer, grass","Open slot injection","Grass",10,"None","Digestate","None",14.8,2.85,19.7
"0080-1980",1980,"Summer, before winter rapeseed","Open slot injection","None",0,"None","Digestate","None",15.1,2.95,19.8
"0080-1990",1990,"Summer, before winter rapeseed","Open slot injection","None",0,"None","Digestate","None",16.5,2.7,20.3
"0080-2000",2000,"Summer, before winter rapeseed","Open slot injection","None",0,"None","Digestate","None",16.8,2.6,20.5
"0080-2010",2010,"Summer, before winter rapeseed","Open slot injection","None",0,"None","Digestate","None",16.6,2.7,20.4
"0081-1980",1980,"Autumn","Open slot injection","Grass",10,"None","Digestate","None",12.7,3,18.7
"0081-1990",1990,"Autumn","Open slot injection","Grass",10,"None","Digestate","None",12.8,2.9,18.7
"0081-2000",2000,"Autumn","Open slot injection","Grass",10,"None","Digestate","None",13.7,2.9,19.2
"0081-2010",2010,"Autumn","Open slot injection","Grass",10,"None","Digestate","None",13.7,3,19.2
"0082-1980",1980,"Autumn","Open slot injection","None",0,"None","Digestate","None",12.7,3,18.7
"0082-1990",1990,"Autumn","Open slot injection","None",0,"None","Digestate","None",12.8,2.9,18.7
"0082-2000",2000,"Autumn","Open slot injection","None",0,"None","Digestate","None",13.7,2.9,19.2
"0082-2010",2010,"Autumn","Open slot injection","None",0,"None","Digestate","None",13.7,3,19.2
"0083-1980",1980,"March","Trailing hose","None",0,"24.0","Digestate","None",2.4,3.8,14.6
"0083-1990",1990,"March","Trailing hose","None",0,"24.0","Digestate","None",3.5,3.9,15.9
"0083-2000",2000,"March","Trailing hose","None",0,"24.0","Digestate","None",3.1,3.5,14.9
"0083-2010",2010,"March","Trailing hose","None",0,"24.0","Digestate","None",4,3.5,15.8
"0084-1980",1980,"March","Trailing hose","None",0,"12.0","Digestate","None",2.4,3.8,12.6
"0084-1990",1990,"March","Trailing hose","None",0,"12.0","Digestate","None",3.5,3.9,13.8
"0084-2000",2000,"March","Trailing hose","None",0,"12.0","Digestate","None",3.1,3.5,12.8
"0084-2010",2010,"March","Trailing hose","None",0,"12.0","Digestate","None",4,3.5,13.7
"0085-1980",1980,"March","Trailing hose","None",0,"6.0","Digestate","None",2.4,3.8,11
"0085-1990",1990,"March","Trailing hose","None",0,"6.0","Digestate","None",3.5,3.9,12
"0085-2000",2000,"March","Trailing hose","None",0,"6.0","Digestate","None",3.1,3.5,11.2
"0085-2010",2010,"March","Trailing hose","None",0,"6.0","Digestate","None",4,3.5,11.9
"0086-1980",1980,"March","Trailing hose","None",0,"4.0","Digestate","None",2.4,3.8,10.2
"0086-1990",1990,"March","Trailing hose","None",0,"4.0","Digestate","None",3.5,3.9,11.1
"0086-2000",2000,"March","Trailing hose","None",0,"4.0","Digestate","None",3.1,3.5,10.4
"0086-2010",2010,"March","Trailing hose","None",0,"4.0","Digestate","None",4,3.5,11.1
"0087-1980",1980,"April","Trailing hose","None",0,"24.0","Digestate","None",5.9,3.3,17.6
"0087-1990",1990,"April","Trailing hose","None",0,"24.0","Digestate","None",6.7,3.5,18.9
"0087-2000",2000,"April","Trailing hose","None",0,"24.0","Digestate","None",7.6,3,19
"0087-2010",2010,"April","Trailing hose","None",0,"24.0","Digestate","None",7.6,3.4,19.7
"0088-1980",1980,"April","Trailing hose","None",0,"12.0","Digestate","None",5.9,3.3,15.4
"0088-1990",1990,"April","Trailing hose","None",0,"12.0","Digestate","None",6.7,3.5,16.7
"0088-2000",2000,"April","Trailing hose","None",0,"12.0","Digestate","None",7.6,3,16.8
"0088-2010",2010,"April","Trailing hose","None",0,"12.0","Digestate","None",7.6,3.4,17.6
"0089-1980",1980,"April","Trailing hose","None",0,"6.0","Digestate","None",5.9,3.3,13.4
"0089-1990",1990,"April","Trailing hose","None",0,"6.0","Digestate","None",6.7,3.5,14.5
"0089-2000",2000,"April","Trailing hose","None",0,"6.0","Digestate","None",7.6,3,14.6
"0089-2010",2010,"April","Trailing hose","None",0,"6.0","Digestate","None",7.6,3.4,15.3
"0090-1980",1980,"April","Trailing hose","None",0,"4.0","Digestate","None",5.9,3.3,12.3
"0090-1990",1990,"April","Trailing hose","None",0,"4.0","Digestate","None",6.7,3.5,13.3
"0090-2000",2000,"April","Trailing hose","None",0,"4.0","Digestate","None",7.6,3,13.5
"0090-2010",2010,"April","Trailing hose","None",0,"4.0","Digestate","None",7.6,3.4,14.1
"0091-1980",1980,"March","Trailing hose","Winter cereal",15,"None","Digestate","None",2.4,3.8,25.5
"0091-1990",1990,"March","Trailing hose","Winter cereal",15,"None","Digestate","None",3.5,3.9,26.7
"0091-2000",2000,"March","Trailing hose","Winter cereal",15,"None","Digestate","None",3.1,3.5,25.9
"0091-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Digestate","None",4,3.5,26.8
"0092-1980",1980,"April","Trailing hose","Winter cereal",25,"None","Digestate","None",5.9,3.3,27.6
"0092-1990",1990,"April","Trailing hose","Winter cereal",25,"None","Digestate","None",6.7,3.5,28.7
"0092-2000",2000,"April","Trailing hose","Winter cereal",25,"None","Digestate","None",7.6,3,29.1
"0092-2010",2010,"April","Trailing hose","Winter cereal",25,"None","Digestate","None",7.6,3.4,29.6
"0093-1980",1980,"May","Trailing hose","Spring cereal",15,"None","Digestate","None",11.1,3.2,34.6
"0093-1990",1990,"May","Trailing hose","Spring cereal",15,"None","Digestate","None",10.8,3,33.9
"0093-2000",2000,"May","Trailing hose","Spring cereal",15,"None","Digestate","None",11.6,2.9,34.7
"0093-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Digestate","None",11.5,3.1,34.9
"0094-1980",1980,"Summer","Trailing hose","Grass",10,"None","Digestate","None",14.7,2.77,39.4
"0094-1990",1990,"Summer","Trailing hose","Grass",10,"None","Digestate","None",15.5,2.77,40.2
"0094-2000",2000,"Summer","Trailing hose","Grass",10,"None","Digestate","None",16,2.7,40.5
"0094-2010",2010,"Summer","Trailing hose","Grass",10,"None","Digestate","None",16,2.77,40.6
"0095-1980",1980,"Summer","Trailing hose","None",0,"24.0","Digestate","None",14.7,2.77,26.4
"0095-1990",1990,"Summer","Trailing hose","None",0,"24.0","Digestate","None",15.5,2.77,27.1
"0095-2000",2000,"Summer","Trailing hose","None",0,"24.0","Digestate","None",16,2.7,27.4
"0095-2010",2010,"Summer","Trailing hose","None",0,"24.0","Digestate","None",16,2.77,27.4
"0096-1980",1980,"Summer","Trailing hose","None",0,"12.0","Digestate","None",14.7,2.77,24.8
"0096-1990",1990,"Summer","Trailing hose","None",0,"12.0","Digestate","None",15.5,2.77,25.5
"0096-2000",2000,"Summer","Trailing hose","None",0,"12.0","Digestate","None",16,2.7,25.9
"0096-2010",2010,"Summer","Trailing hose","None",0,"12.0","Digestate","None",16,2.77,25.9
"0097-1980",1980,"Summer","Trailing hose","None",0,"6.0","Digestate","None",14.7,2.77,22.8
"0097-1990",1990,"Summer","Trailing hose","None",0,"6.0","Digestate","None",15.5,2.77,23.8
"0097-2000",2000,"Summer","Trailing hose","None",0,"6.0","Digestate","None",16,2.7,24.2
"0097-2010",2010,"Summer","Trailing hose","None",0,"6.0","Digestate","None",16,2.77,24.3
"0098-1980",1980,"Summer","Trailing hose","None",0,"4.0","Digestate","None",14.7,2.77,21.2
"0098-1990",1990,"Summer","Trailing hose","None",0,"4.0","Digestate","None",15.5,2.77,22.3
"0098-2000",2000,"Summer","Trailing hose","None",0,"4.0","Digestate","None",16,2.7,22.7
"0098-2010",2010,"Summer","Trailing hose","None",0,"4.0","Digestate","None",16,2.77,22.8
"0099-1980",1980,"Autumn","Trailing hose","Grass",15,"None","Digestate","None",12.7,3,37.6
"0099-1990",1990,"Autumn","Trailing hose","Grass",15,"None","Digestate","None",12.8,2.9,37.6
"0099-2000",2000,"Autumn","Trailing hose","Grass",15,"None","Digestate","None",13.7,2.9,38.5
"0099-2010",2010,"Autumn","Trailing hose","Grass",15,"None","Digestate","None",13.7,3,38.6
"0100-1980",1980,"Autumn","Trailing hose","None",0,"24.0","Digestate","None",12.7,3,24.8
"0100-1990",1990,"Autumn","Trailing hose","None",0,"24.0","Digestate","None",12.8,2.9,24.7
"0100-2000",2000,"Autumn","Trailing hose","None",0,"24.0","Digestate","None",13.7,2.9,25.6
"0100-2010",2010,"Autumn","Trailing hose","None",0,"24.0","Digestate","None",13.7,3,25.7
"0101-1980",1980,"Autumn","Trailing hose","None",0,"12.0","Digestate","None",12.7,3,23
"0101-1990",1990,"Autumn","Trailing hose","None",0,"12.0","Digestate","None",12.8,2.9,23
"0101-2000",2000,"Autumn","Trailing hose","None",0,"12.0","Digestate","None",13.7,2.9,24
"0101-2010",2010,"Autumn","Trailing hose","None",0,"12.0","Digestate","None",13.7,3,24.1
"0102-1980",1980,"Autumn","Trailing hose","None",0,"6.0","Digestate","None",12.7,3,20.8
"0102-1990",1990,"Autumn","Trailing hose","None",0,"6.0","Digestate","None",12.8,2.9,20.7
"0102-2000",2000,"Autumn","Trailing hose","None",0,"6.0","Digestate","None",13.7,2.9,21.9
"0102-2010",2010,"Autumn","Trailing hose","None",0,"6.0","Digestate","None",13.7,3,22
"0103-1980",1980,"Autumn","Trailing hose","None",0,"4.0","Digestate","None",12.7,3,19.2
"0103-1990",1990,"Autumn","Trailing hose","None",0,"4.0","Digestate","None",12.8,2.9,19.1
"0103-2000",2000,"Autumn","Trailing hose","None",0,"4.0","Digestate","None",13.7,2.9,20.2
"0103-2010",2010,"Autumn","Trailing hose","None",0,"4.0","Digestate","None",13.7,3,20.4
"0104-1980",1980,"Winter-spring","Broadcast","None",0,"< 12 hours","Digestate","None",10,3.13,27.4
"0104-1990",1990,"Winter-spring","Broadcast","None",0,"< 12 hours","Digestate","None",10.4,3.12,27.5
"0104-2000",2000,"Winter-spring","Broadcast","None",0,"< 12 hours","Digestate","None",11,2.98,27.7
"0104-2010",2010,"Winter-spring","Broadcast","None",0,"< 12 hours","Digestate","None",11.1,3.07,27.8
"0105-1980",1980,"Winter-spring","Broadcast","None",0,"> 12 hours","Digestate","None",10,3.13,27.4
"0105-1990",1990,"Winter-spring","Broadcast","None",0,"> 12 hours","Digestate","None",10.4,3.12,27.5
"0105-2000",2000,"Winter-spring","Broadcast","None",0,"> 12 hours","Digestate","None",11,2.98,27.7
"0105-2010",2010,"Winter-spring","Broadcast","None",0,"> 12 hours","Digestate","None",11.1,3.07,27.8
"0106-1980",1980,"Winter-spring","Broadcast","None",0,"None","Digestate","None",10,3.13,40.2
"0106-1990",1990,"Winter-spring","Broadcast","None",0,"None","Digestate","None",10.4,3.12,40.4
"0106-2000",2000,"Winter-spring","Broadcast","None",0,"None","Digestate","None",11,2.98,40.7
"0106-2010",2010,"Winter-spring","Broadcast","None",0,"None","Digestate","None",11.1,3.07,40.8
"0107-1980",1980,"Spring-summer","Broadcast","Cereal and grass",15,"None","Digestate","None",12.2,2.96,41.4
"0107-1990",1990,"Spring-summer","Broadcast","Cereal and grass",15,"None","Digestate","None",12.8,2.96,41.7
"0107-2000",2000,"Spring-summer","Broadcast","Cereal and grass",15,"None","Digestate","None",13.4,2.8,42
"0107-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Digestate","None",13.4,2.96,42
"0108-1980",1980,"Late summer-autumn","Broadcast","Grass",10,"None","Digestate","None",14.3,2.97,42.5
"0108-1990",1990,"Late summer-autumn","Broadcast","Grass",10,"None","Digestate","None",15.2,2.77,42.9
"0108-2000",2000,"Late summer-autumn","Broadcast","Grass",10,"None","Digestate","None",15.8,2.7,43.2
"0108-2010",2010,"Late summer-autumn","Broadcast","Grass",10,"None","Digestate","None",15.7,2.8,43.1
"0109-1980",1980,"Late summer-autumn","Broadcast","None",0,"< 12 hours","Digestate","None",14.3,2.97,28.9
"0109-1990",1990,"Late summer-autumn","Broadcast","None",0,"< 12 hours","Digestate","None",15.2,2.77,29.1
"0109-2000",2000,"Late summer-autumn","Broadcast","None",0,"< 12 hours","Digestate","None",15.8,2.7,29.3
"0109-2010",2010,"Late summer-autumn","Broadcast","None",0,"< 12 hours","Digestate","None",15.7,2.8,29.3
"0110-1980",1980,"Late summer-autumn","Broadcast","None",0,"> 12 hours","Digestate","None",14.3,2.97,28.9
"0110-1990",1990,"Late summer-autumn","Broadcast","None",0,"> 12 hours","Digestate","None",15.2,2.77,29.1
"0110-2000",2000,"Late summer-autumn","Broadcast","None",0,"> 12 hours","Digestate","None",15.8,2.7,29.3
"0110-2010",2010,"Late summer-autumn","Broadcast","None",0,"> 12 hours","Digestate","None",15.7,2.8,29.3
"0111-1980",1980,"Late summer-autumn","Broadcast","None",0,"None","Digestate","None",14.3,2.97,42.5
"0111-1990",1990,"Late summer-autumn","Broadcast","None",0,"None","Digestate","None",15.2,2.77,42.9
"0111-2000",2000,"Late summer-autumn","Broadcast","None",0,"None","Digestate","None",15.8,2.7,43.2
"0111-2010",2010,"Late summer-autumn","Broadcast","None",0,"None","Digestate","None",15.7,2.8,43.1
"0112-1980",1980,"March","Trailing hose","None",0,"24.0","Cattle","Barn acidified",2.4,3.8,2.96
"0112-1990",1990,"March","Trailing hose","None",0,"24.0","Cattle","Barn acidified",3.5,3.9,3.19
"0112-2000",2000,"March","Trailing hose","None",0,"24.0","Cattle","Barn acidified",3.1,3.5,3.05
"0112-2010",2010,"March","Trailing hose","None",0,"24.0","Cattle","Barn acidified",4,3.5,3.21
"0113-1980",1980,"March","Trailing hose","None",0,"12.0","Cattle","Barn acidified",2.4,3.8,2.51
"0113-1990",1990,"March","Trailing hose","None",0,"12.0","Cattle","Barn acidified",3.5,3.9,2.7
"0113-2000",2000,"March","Trailing hose","None",0,"12.0","Cattle","Barn acidified",3.1,3.5,2.59
"0113-2010",2010,"March","Trailing hose","None",0,"12.0","Cattle","Barn acidified",4,3.5,2.72
"0114-1980",1980,"March","Trailing hose","None",0,"6.0","Cattle","Barn acidified",2.4,3.8,2.25
"0114-1990",1990,"March","Trailing hose","None",0,"6.0","Cattle","Barn acidified",3.5,3.9,2.41
"0114-2000",2000,"March","Trailing hose","None",0,"6.0","Cattle","Barn acidified",3.1,3.5,2.31
"0114-2010",2010,"March","Trailing hose","None",0,"6.0","Cattle","Barn acidified",4,3.5,2.42
"0115-1980",1980,"March","Trailing hose","None",0,"4.0","Cattle","Barn acidified",2.4,3.8,2.15
"0115-1990",1990,"March","Trailing hose","None",0,"4.0","Cattle","Barn acidified",3.5,3.9,2.3
"0115-2000",2000,"March","Trailing hose","None",0,"4.0","Cattle","Barn acidified",3.1,3.5,2.21
"0115-2010",2010,"March","Trailing hose","None",0,"4.0","Cattle","Barn acidified",4,3.5,2.31
"0116-1980",1980,"April","Trailing hose","None",0,"24.0","Cattle","Barn acidified",5.9,3.3,3.51
"0116-1990",1990,"April","Trailing hose","None",0,"24.0","Cattle","Barn acidified",6.7,3.5,3.81
"0116-2000",2000,"April","Trailing hose","None",0,"24.0","Cattle","Barn acidified",7.6,3,3.88
"0116-2010",2010,"April","Trailing hose","None",0,"24.0","Cattle","Barn acidified",7.6,3.4,4.05
"0117-1980",1980,"April","Trailing hose","None",0,"12.0","Cattle","Barn acidified",5.9,3.3,2.98
"0117-1990",1990,"April","Trailing hose","None",0,"12.0","Cattle","Barn acidified",6.7,3.5,3.22
"0117-2000",2000,"April","Trailing hose","None",0,"12.0","Cattle","Barn acidified",7.6,3,3.29
"0117-2010",2010,"April","Trailing hose","None",0,"12.0","Cattle","Barn acidified",7.6,3.4,3.43
"0118-1980",1980,"April","Trailing hose","None",0,"6.0","Cattle","Barn acidified",5.9,3.3,2.64
"0118-1990",1990,"April","Trailing hose","None",0,"6.0","Cattle","Barn acidified",6.7,3.5,2.84
"0118-2000",2000,"April","Trailing hose","None",0,"6.0","Cattle","Barn acidified",7.6,3,2.89
"0118-2010",2010,"April","Trailing hose","None",0,"6.0","Cattle","Barn acidified",7.6,3.4,3
"0119-1980",1980,"April","Trailing hose","None",0,"4.0","Cattle","Barn acidified",5.9,3.3,2.51
"0119-1990",1990,"April","Trailing hose","None",0,"4.0","Cattle","Barn acidified",6.7,3.5,2.68
"0119-2000",2000,"April","Trailing hose","None",0,"4.0","Cattle","Barn acidified",7.6,3,2.73
"0119-2010",2010,"April","Trailing hose","None",0,"4.0","Cattle","Barn acidified",7.6,3.4,2.83
"0120-1980",1980,"March","Trailing hose","Winter cereal",15,"None","Cattle","Barn acidified",2.4,3.8,6.66
"0120-1990",1990,"March","Trailing hose","Winter cereal",15,"None","Cattle","Barn acidified",3.5,3.9,6.93
"0120-2000",2000,"March","Trailing hose","Winter cereal",15,"None","Cattle","Barn acidified",3.1,3.5,6.8
"0120-2010",2010,"March","Trailing hose","Winter cereal",15,"None","Cattle","Barn acidified",4,3.5,7
"0121-1980",1980,"April","Trailing hose","Winter cereal",25,"None","Cattle","Barn acidified",5.9,3.3,7.22
"0121-1990",1990,"April","Trailing hose","Winter cereal",25,"None","Cattle","Barn acidified",6.7,3.5,7.48
"0121-2000",2000,"April","Trailing hose","Winter cereal",25,"None","Cattle","Barn acidified",7.6,3,7.64
"0121-2010",2010,"April","Trailing hose","Winter cereal",25,"None","Cattle","Barn acidified",7.6,3.4,7.73
"0122-1980",1980,"May","Trailing hose","Spring cereal",15,"None","Cattle","Barn acidified",11.1,3.2,9.2
"0122-1990",1990,"May","Trailing hose","Spring cereal",15,"None","Cattle","Barn acidified",10.8,3,8.97
"0122-2000",2000,"May","Trailing hose","Spring cereal",15,"None","Cattle","Barn acidified",11.6,2.9,9.3
"0122-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Cattle","Barn acidified",11.5,3.1,9.37
"0123-1980",1980,"Summer","Trailing hose","Grass",10,"None","Cattle","Barn acidified",14.7,2.77,12.1
"0123-1990",1990,"Summer","Trailing hose","Grass",10,"None","Cattle","Barn acidified",15.5,2.77,12.9
"0123-2000",2000,"Summer","Trailing hose","Grass",10,"None","Cattle","Barn acidified",16,2.7,13.2
"0123-2010",2010,"Summer","Trailing hose","Grass",10,"None","Cattle","Barn acidified",16,2.77,13.3
"0124-1980",1980,"Summer","Trailing hose","None",0,"24.0","Cattle","Barn acidified",14.7,2.77,7.12
"0124-1990",1990,"Summer","Trailing hose","None",0,"24.0","Cattle","Barn acidified",15.5,2.77,7.8
"0124-2000",2000,"Summer","Trailing hose","None",0,"24.0","Cattle","Barn acidified",16,2.7,8.05
"0124-2010",2010,"Summer","Trailing hose","None",0,"24.0","Cattle","Barn acidified",16,2.77,8.13
"0125-1980",1980,"Summer","Trailing hose","None",0,"12.0","Cattle","Barn acidified",14.7,2.77,6.02
"0125-1990",1990,"Summer","Trailing hose","None",0,"12.0","Cattle","Barn acidified",15.5,2.77,6.61
"0125-2000",2000,"Summer","Trailing hose","None",0,"12.0","Cattle","Barn acidified",16,2.7,6.84
"0125-2010",2010,"Summer","Trailing hose","None",0,"12.0","Cattle","Barn acidified",16,2.77,6.91
"0126-1980",1980,"Summer","Trailing hose","None",0,"6.0","Cattle","Barn acidified",14.7,2.77,5.09
"0126-1990",1990,"Summer","Trailing hose","None",0,"6.0","Cattle","Barn acidified",15.5,2.77,5.56
"0126-2000",2000,"Summer","Trailing hose","None",0,"6.0","Cattle","Barn acidified",16,2.7,5.75
"0126-2010",2010,"Summer","Trailing hose","None",0,"6.0","Cattle","Barn acidified",16,2.77,5.81
"0127-1980",1980,"Summer","Trailing hose","None",0,"4.0","Cattle","Barn acidified",14.7,2.77,4.68
"0127-1990",1990,"Summer","Trailing hose","None",0,"4.0","Cattle","Barn acidified",15.5,2.77,5.09
"0127-2000",2000,"Summer","Trailing hose","None",0,"4.0","Cattle","Barn acidified",16,2.7,5.26
"0127-2010",2010,"Summer","Trailing hose","None",0,"4.0","Cattle","Barn acidified",16,2.77,5.3
"0128-1980",1980,"Autumn","Trailing hose","Grass",15,"None","Cattle","Barn acidified",12.7,3,10.8
"0128-1990",1990,"Autumn","Trailing hose","Grass",15,"None","Cattle","Barn acidified",12.8,2.9,10.8
"0128-2000",2000,"Autumn","Trailing hose","Grass",15,"None","Cattle","Barn acidified",13.7,2.9,11.5
"0128-2010",2010,"Autumn","Trailing hose","Grass",15,"None","Cattle","Barn acidified",13.7,3,11.6
"0129-1980",1980,"Autumn","Trailing hose","None",0,"24.0","Cattle","Barn acidified",12.7,3,6
"0129-1990",1990,"Autumn","Trailing hose","None",0,"24.0","Cattle","Barn acidified",12.8,2.9,5.98
"0129-2000",2000,"Autumn","Trailing hose","None",0,"24.0","Cattle","Barn acidified",13.7,2.9,6.55
"0129-2010",2010,"Autumn","Trailing hose","None",0,"24.0","Cattle","Barn acidified",13.7,3,6.66
"0130-1980",1980,"Autumn","Trailing hose","None",0,"12.0","Cattle","Barn acidified",12.7,3,5.07
"0130-1990",1990,"Autumn","Trailing hose","None",0,"12.0","Cattle","Barn acidified",12.8,2.9,5.06
"0130-2000",2000,"Autumn","Trailing hose","None",0,"12.0","Cattle","Barn acidified",13.7,2.9,5.54
"0130-2010",2010,"Autumn","Trailing hose","None",0,"12.0","Cattle","Barn acidified",13.7,3,5.64
"0131-1980",1980,"Autumn","Trailing hose","None",0,"6.0","Cattle","Barn acidified",12.7,3,4.33
"0131-1990",1990,"Autumn","Trailing hose","None",0,"6.0","Cattle","Barn acidified",12.8,2.9,4.32
"0131-2000",2000,"Autumn","Trailing hose","None",0,"6.0","Cattle","Barn acidified",13.7,2.9,4.7
"0131-2010",2010,"Autumn","Trailing hose","None",0,"6.0","Cattle","Barn acidified",13.7,3,4.78
"0132-1980",1980,"Autumn","Trailing hose","None",0,"4.0","Cattle","Barn acidified",12.7,3,4.01
"0132-1990",1990,"Autumn","Trailing hose","None",0,"4.0","Cattle","Barn acidified",12.8,2.9,4
"0132-2000",2000,"Autumn","Trailing hose","None",0,"4.0","Cattle","Barn acidified",13.7,2.9,4.34
"0132-2010",2010,"Autumn","Trailing hose","None",0,"4.0","Cattle","Barn acidified",13.7,3,4.4
"0133-1980",1980,"March","Trailing hose","None",0,"None","Cattle","Barn acidified",2.4,3.8,6.86
"0133-1990",1990,"March","Trailing hose","None",0,"None","Cattle","Barn acidified",3.5,3.9,7.19
"0133-2000",2000,"March","Trailing hose","None",0,"None","Cattle","Barn acidified",3.1,3.5,7.01
"0133-2010",2010,"March","Trailing hose","None",0,"None","Cattle","Barn acidified",4,3.5,7.24
"0134-1980",1980,"April","Trailing hose","None",0,"None","Cattle","Barn acidified",5.9,3.3,7.71
"0134-1990",1990,"April","Trailing hose","None",0,"None","Cattle","Barn acidified",6.7,3.5,8.08
"0134-2000",2000,"April","Trailing hose","None",0,"None","Cattle","Barn acidified",7.6,3,8.23
"0134-2010",2010,"April","Trailing hose","None",0,"None","Cattle","Barn acidified",7.6,3.4,8.41
"0135-1980",1980,"Summer","Trailing hose","None",0,"None","Cattle","Barn acidified",14.7,2.77,12.1
"0135-1990",1990,"Summer","Trailing hose","None",0,"None","Cattle","Barn acidified",15.5,2.77,12.9
"0135-2000",2000,"Summer","Trailing hose","None",0,"None","Cattle","Barn acidified",16,2.7,13.2
"0135-2010",2010,"Summer","Trailing hose","None",0,"None","Cattle","Barn acidified",16,2.77,13.3
"0136-1980",1980,"Autumn","Trailing hose","None",0,"None","Cattle","Barn acidified",12.7,3,10.8
"0136-1990",1990,"Autumn","Trailing hose","None",0,"None","Cattle","Barn acidified",12.8,2.9,10.8
"0136-2000",2000,"Autumn","Trailing hose","None",0,"None","Cattle","Barn acidified",13.7,2.9,11.5
"0136-2010",2010,"Autumn","Trailing hose","None",0,"None","Cattle","Barn acidified",13.7,3,11.6
"0137-1980",1980,"Winter-spring","Broadcast","None",0,"< 12 hours","Cattle","Barn acidified",10,3.13,11.8
"0137-1990",1990,"Winter-spring","Broadcast","None",0,"< 12 hours","Cattle","Barn acidified",10.4,3.12,12.2
"0137-2000",2000,"Winter-spring","Broadcast","None",0,"< 12 hours","Cattle","Barn acidified",11,2.98,12.5
"0137-2010",2010,"Winter-spring","Broadcast","None",0,"< 12 hours","Cattle","Barn acidified",11.1,3.07,12.9
"0138-1980",1980,"Winter-spring","Broadcast","None",0,"> 12 hours","Cattle","Barn acidified",10,3.13,11.8
